url_domain,url_subdomain,url_suffix,whois_registrar,whois_server_domain,whois_server_subdomain,whois_server_org,whois_org,url_domain_ip
cmapower,,com,"Register.com, Inc.",register,whois,com,,20720420240
locatetv,,com,"MarkMonitor, Inc.",markmonitor,whois,com,Cisco Technology Inc.,4515918815
brainyquote,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",1042263223
famouswhy,people,com,Key-Systems GmbH,rrpproxy,whois,net,REDACTED FOR PRIVACY,8520422108
blogspot,greenmourning,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
reference,,com,MarkMonitor Inc.,markmonitor,whois,com,,1511016114
coursehero,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",104179347
whockey,,com,"BRANDON GRAY INTERNET SERVICES, INC. DBA NAMEJUICE.COM",namejuice,whois,com,Private Registration,64291459
pressherald,obituaries,com,"Network Solutions, LLC",networksolutions,whois,com,,104261186
cjfl,,net,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",50632029
dvd-copy,,com,"GoDaddy.com, LLC",godaddy,whois,com,SHAWN REIMERDES,5221699178
pitchfork,,com,"CSC CORPORATE DOMAINS, INC.",corporatedomains,whois,com,"Advance Magazine Publishers, Inc.",15110120239
blogspot,kingfish1935,com,"MarkMonitor, Inc.",markmonitor,whois,com,Google LLC,64233185191
docstoc,,com,"GoDaddy.com, LLC",godaddy,whois,com,Intuit Inc.,18416822161
cynthiawoodmusic,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Domains By Proxy, LLC",2323662147
answers,,com,"Network Solutions, LLC",networksolutions,whois,com,,1511010203
erikmongrain,,com,1&1 IONOS SE,ionos,whois,com,,2323662147
cortera,start,com,"GoDaddy.com, LLC",godaddy,whois,com,"Cortera, Inc.",121308158
thefightnerd,,com,"DreamHost, LLC",dreamhost,whois,com,,649044236
wikipedia,en,org,"MarkMonitor, Inc.",markmonitor,whois,com,"Wikimedia Foundation, Inc.",20880154224
vakantiehuisinauvergne,,com,REALTIME REGISTER B.V.,yoursrs,whois,com,REDACTED FOR PRIVACY,18518257123
verbungle,,com,XINNET TECHNOLOGY CORPORATION,paycenter,whois,com.cn,REDACTED FOR PRIVACY,156247518
meetup,,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Meetup, Inc.",1511012110
city-data,,com,"GoDaddy.com, LLC",godaddy,whois,com,"Advameg, Inc.",16962184199
mylife,,com,"Network Solutions, LLC",networksolutions,whois,com,,21652223150
fcamerica,,org,"GoDaddy.com, LLC",godaddy,whois,com,FC America,18416822192
filmreference,,com,NAMECHEAP INC,namecheap,whois,com,"Advameg, Inc.",2322716971
sportingnews,aol,com,Safenames Ltd,safenames,whois,net,,18542236155
jerseyal,,com,"GoDaddy.com, LLC",godaddy,whois,com,Open Systems Computing Corp.,184168131241
wordpress,thepenguinsofmadagascar,com,"MarkMonitor, Inc.",markmonitor,whois,com,"Automattic, Inc.",19207817
exchangedictionary,,com,"GoDaddy.com, LLC",godaddy,whois,com,,107180942
redbrokerage,,com,"Network Solutions, LLC",networksolutions,whois,com,,15110166159
